Barangay,Total no. of Households,Total no. of Population,Total no. of Population (Male),Total no. of Population (Female),households wih income below poverty threshold,Households who are Informal settlers,Household living in Makeshift housing,number of members of the labor force (Total),number of members of the labor force (Male),number of members of the labor force (Female),"unemployed members of the labor force (Magnitude, Total)","unemployed members of the labor force (Magnitude, Male)","unemployed members of the labor force (Magnitude, Female)","unemployed members of the labor force (Proportion, Total)","unemployed members of the labor force (Proportion, Male)","unemployed members of the labor force (Proportion, Female)",number of Employed members of the labor force (Total),number of Employed members of the labor force (Male),number of Employed members of the labor force (Female),"underemployed workers (Magnitude, Total)","underemployed workers (Magnitude, Male)","underemployed workers (Magnitude, Female)","underemployed workers (Proportion, Total)","underemployed workers (Proportion, Male)","underemployed workers (Proportion, Female)",number of senior citizens (Total),number of senior citizens (Male),number of senior citizens (Female),"Senior citizens with ID (Magnitude, Total)","Senior citizens with ID (Magnitude, Male)","Senior citizens with ID (Magnitude, Female)","Senior citizens with ID (Proportion, Total)","Senior citizens with ID (Proportion, Male)","Senior citizens with ID (Proportion, Female)",PWD Indicator (TOTAL),number of children 0-5 years old (Total),number of children 0-5 years old (Male),number of children 0-5 years old (Female),"malnourished children 0-5 years old (Magnitude, Total)","malnourished children 0-5 years old (Magnitude, Male)","malnourished children 0-5 years old (Magnitude, Female)","malnourished children 0-5 years old (Proportion, Total)","malnourished children 0-5 years old (Proportion, Male)","malnourished children 0-5 years old (Proportion, Female)",Households with access to electricty,"victims of crime (Magnitude, Total)","victims of crime (Magnitude, Male)","victims of crime (Magnitude, Female)","victims of crime (Proportion, Total)","victims of crime (Proportion, Male)","victims of crime (Proportion, Female)",engaged in crop farming and gardening,engaged in livestock/poultry,engaged in fishing,engaged in forestry,engaged in wholesale/retail,engaged in manufacturing,"engaged in community, social & personal service","engaged in transportation, storage & communicat",engaged in mining & quarrying,engaged in construction,other activities nec,OFW
Alicaocao,572,2129,1090,1039,180,14,8,799,564,235,28,13,15,3.5,2.31,6.38,771,551,220,112,81,31,14.53,14.7,14.09,117,55,62,95,45,50,81.2,81.82,80.65,17,287,167,120,2,1,1,0.7,0.6,0.83,530,2,1,1,0.09,0.09,0.1,11,8,2,0,45,0,2,40,0,7,3,44
Alinam,243,944,506,438,97,0,3,351,257,94,13,9,4,3.7,3.5,4.26,338,248,90,55,41,14,16.27,16.53,15.56,44,22,22,37,18,19,84.09,81.82,86.36,11,125,76,49,6,5,1,4.8,6.58,2.04,227,0,0,0,0.0,0.0,0.0,33,17,0,0,39,0,1,29,0,9,1,32
Amobocan,235,849,447,402,119,7,7,298,221,77,11,5,6,3.69,2.26,7.79,287,216,71,64,49,15,22.3,22.69,21.13,70,35,35,66,33,33,94.29,94.29,94.29,7,106,56,50,1,0,1,0.94,0.0,2.0,203,0,0,0,0.0,0.0,0.0,49,37,0,1,4,0,0,5,0,3,0,35
Andarayan,86,304,164,140,43,1,2,134,90,44,10,5,5,7.46,5.56,11.36,124,85,39,37,26,11,29.84,30.59,28.21,30,14,16,29,14,15,96.67,100.0,93.75,5,36,21,15,4,3,1,11.11,14.29,6.67,80,1,1,0,0.33,0.61,0.0,20,14,0,0,5,0,0,3,0,0,0,8
Baculod,483,1652,867,785,238,7,12,657,510,147,17,14,3,2.59,2.75,2.04,640,496,144,138,106,32,21.56,21.37,22.22,147,63,84,130,57,73,88.44,90.48,86.9,17,207,122,85,4,2,2,1.93,1.64,2.35,438,0,0,0,0.0,0.0,0.0,143,47,0,0,18,0,1,12,0,10,2,40
Baringin Norte,59,208,109,99,21,3,0,78,54,24,4,3,1,5.13,5.56,4.17,74,51,23,24,18,6,32.43,35.29,26.09,26,13,13,24,14,10,92.31,107.69,76.92,4,24,14,10,0,0,0,0.0,0.0,0.0,54,0,0,0,0.0,0.0,0.0,17,11,1,0,2,1,2,0,0,2,2,4
Baringin Sur ,234,853,436,417,66,1,2,334,232,102,13,7,6,3.89,3.02,5.88,321,225,96,37,28,9,11.53,12.44,9.38,94,39,55,83,35,48,88.3,89.74,87.27,7,87,43,44,0,0,0,0.0,0.0,0.0,228,0,0,0,0.0,0.0,0.0,48,21,0,0,8,2,0,5,0,2,0,31
Buena Suerte,238,863,431,432,77,1,1,344,235,109,14,11,3,4.07,4.68,2.75,330,224,106,58,39,19,17.58,17.41,17.92,113,56,57,108,55,53,95.58,98.21,92.98,11,86,38,48,1,0,1,1.16,0.0,2.08,234,1,1,0,0.12,0.23,0.0,58,23,0,1,14,1,1,7,0,6,1,33
Bugallon,138,507,267,240,41,8,1,193,138,55,3,3,0,1.55,2.17,0.0,190,135,55,18,14,4,9.47,10.37,7.27,55,25,30,47,21,26,85.45,84.0,86.67,1,60,32,28,0,0,0,0.0,0.0,0.0,125,0,0,0,0.0,0.0,0.0,20,2,1,0,2,0,0,1,0,1,0,17
Buyon,318,1159,578,581,176,6,6,430,340,90,13,8,5,3.02,2.35,5.56,417,332,85,94,76,18,22.54,22.89,21.18,68,28,40,47,19,28,69.12,67.86,70.0,14,155,61,94,7,4,3,4.52,6.56,3.19,287,0,0,0,0.0,0.0,0.0,121,30,0,2,9,1,0,2,0,11,0,18
Cabaruan,1173,4199,2139,2060,250,35,15,1637,1111,526,81,57,24,4.95,5.13,4.56,1556,1054,502,313,211,102,20.12,20.02,20.32,308,130,178,270,111,159,87.66,85.38,89.33,27,548,308,240,2,2,0,0.37,0.65,0.0,1148,0,0,0,0.0,0.0,0.0,29,25,0,1,132,7,12,120,0,39,16,85
Cabugao,158,577,287,290,84,0,4,216,161,55,8,7,1,3.7,4.35,1.82,208,154,54,42,33,9,20.19,21.43,16.67,44,21,23,40,19,21,90.91,90.48,91.3,8,79,44,35,7,4,3,8.86,9.09,8.57,149,0,0,0,0.0,0.0,0.0,46,9,0,0,6,0,0,2,0,7,0,12
Carabatan Chica,128,542,275,267,48,2,0,191,135,56,11,8,3,5.76,5.93,5.36,180,127,53,32,22,10,17.78,17.32,18.87,54,27,27,43,21,22,79.63,77.78,81.48,7,63,31,32,2,1,1,3.17,3.23,3.13,123,0,0,0,0.0,0.0,0.0,7,16,0,1,10,1,1,21,0,1,1,10
Carabatan Grande,70,253,122,131,29,1,1,89,60,29,2,1,1,2.25,1.67,3.45,87,59,28,6,3,3,6.9,5.08,10.71,33,11,22,30,10,20,90.91,90.91,90.91,4,31,16,15,0,0,0,0.0,0.0,0.0,69,0,0,0,0.0,0.0,0.0,18,15,2,0,9,0,0,1,0,0,0,7
Carabatan Punta,112,399,210,189,27,0,3,165,110,55,10,6,4,6.06,5.45,7.27,155,104,51,36,22,14,23.23,21.15,27.45,42,18,24,31,15,16,73.81,83.33,66.67,2,34,21,13,0,0,0,0.0,0.0,0.0,109,3,2,1,0.75,0.95,0.53,31,31,0,0,9,1,0,6,0,5,0,23
